2010
Tag, Accounts, 1, 2, 3, 4, 5, Total
current_assets, 58, 58, , , , , 58
current_liabilities, 58, 58, , , , , 58
inventory_net, 58, 39, , , , , 39
accounts_receivable, 58, 53, 3, , , , 56
accounts_payable, 58, 53, 0, , , , 53
assets, 58, 58, , , , , 58
equity, 58, 33, 8, , , , 41
ocf, 58, 8, 0, 50, , , 58
cogs, 58, 17, 10, 7, 5, , 39
revenue, 58, 26, 28, 0, 0, 3, 57
gross_profit, 58, 37, , , , , 37
operating_profit, 58, 53, , , , , 53
tax_expense, 58, 56, , , , , 56
pretax_income, 58, 0, 49, 0, 0, , 49
net_income, 58, 52, 6, , , , 58
eps_basic, 58, 57, , , , , 57
eps_diluted, 58, 57, , , , , 57
long_term_debt, 58, 10, 0, 12, , , 22
fixed_assets, 58, 56, , , , , 56
capex, 58, 40, 6, , , , 46
current_debt, 58, 10, 5, 0, , , 15
2011
Tag, Accounts, 1, 2, 3, 4, 5, Total
current_assets, 187, 185, , , , , 185
current_liabilities, 187, 185, , , , , 185
accounts_receivable, 187, 160, 17, , , , 177
accounts_payable, 187, 167, 0, , , , 167
assets, 187, 185, , , , , 185
equity, 187, 135, 18, , , , 153
long_term_debt, 187, 20, 3, 57, , , 80
fixed_assets, 187, 183, , , , , 183
ocf, 187, 19, 0, 166, , , 185
cogs, 187, 51, 18, 27, 21, , 117
revenue, 187, 72, 96, 0, 10, 7, 185
gross_profit, 187, 126, , , , , 126
operating_profit, 187, 179, , , , , 179
tax_expense, 187, 183, , , , , 183
pretax_income, 187, 9, 160, 0, 0, , 169
net_income, 187, 172, 13, , , , 185
capex, 187, 142, 24, , , , 166
eps_basic, 187, 174, , , , , 174
eps_diluted, 187, 174, , , , , 174
inventory_net, 187, 123, , , , , 123
current_debt, 187, 29, 7, 1, , , 37
2012
Tag, Accounts, 1, 2, 3, 4, 5, Total
current_assets, 476, 464, , , , , 464
current_liabilities, 476, 464, , , , , 464
inventory_net, 476, 285, , , , , 285
accounts_receivable, 476, 409, 24, , , , 433
assets, 476, 475, , , , , 475
equity, 476, 352, 36, , , , 388
fixed_assets, 476, 472, , , , , 472
ocf, 476, 87, 2, 387, , , 476
cogs, 476, 142, 39, 72, 57, , 310
revenue, 476, 216, 207, 0, 33, 16, 472
gross_profit, 476, 357, , , , , 357
operating_profit, 476, 454, , , , , 454
tax_expense, 476, 457, , , , , 457
pretax_income, 476, 87, 363, 0, 2, , 452
net_income, 476, 420, 25, , , , 445
capex, 476, 392, 55, , , , 447
eps_basic, 476, 419, , , , , 419
eps_diluted, 476, 421, , , , , 421
accounts_payable, 476, 413, 1, , , , 414
long_term_debt, 476, 50, 18, 114, , , 182
current_debt, 476, 50, 14, 8, , , 72
2013
Tag, Accounts, 1, 2, 3, 4, 5, Total
current_assets, 480, 472, , , , , 472
current_liabilities, 480, 472, , , , , 472
accounts_receivable, 480, 425, 22, , , , 447
accounts_payable, 480, 424, 3, , , , 427
assets, 480, 480, , , , , 480
equity, 480, 366, 37, , , , 403
long_term_debt, 480, 57, 23, 115, , , 195
fixed_assets, 480, 477, , , , , 477
ocf, 480, 93, 1, 386, , , 480
cogs, 480, 133, 39, 72, 64, , 308
revenue, 480, 241, 192, 0, 27, 15, 475
gross_profit, 480, 377, , , , , 377
operating_profit, 480, 458, , , , , 458
tax_expense, 480, 465, , , , , 465
pretax_income, 480, 124, 337, 0, 1, , 462
net_income, 480, 428, 19, , , , 447
capex, 480, 402, 72, , , , 474
eps_basic, 480, 417, , , , , 417
eps_diluted, 480, 417, , , , , 417
inventory_net, 480, 280, , , , , 280
current_debt, 480, 47, 9, 5, , , 61
2014
Tag, Accounts, 1, 2, 3, 4, 5, Total
current_assets, 452, 445, , , , , 445
current_liabilities, 452, 444, , , , , 444
accounts_receivable, 452, 402, 21, , , , 423
accounts_payable, 452, 400, 2, , , , 402
assets, 452, 452, , , , , 452
equity, 452, 348, 35, , , , 383
long_term_debt, 452, 60, 23, 108, , , 191
fixed_assets, 452, 447, , , , , 447
ocf, 452, 121, 1, 330, , , 452
cogs, 452, 108, 41, 63, 58, , 270
revenue, 452, 256, 159, 0, 22, 11, 448
gross_profit, 452, 356, , , , , 356
operating_profit, 452, 433, , , , , 433
tax_expense, 452, 446, , , , , 446
pretax_income, 452, 149, 290, 0, 1, , 440
net_income, 452, 409, 17, , , , 426
capex, 452, 383, 61, , , , 444
eps_basic, 452, 384, , , , , 384
eps_diluted, 452, 385, , , , , 385
inventory_net, 452, 248, , , , , 248
current_debt, 452, 44, 9, 4, , , 57
